INFO       2017-11-23 20:46:07,012 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:07,213 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:07,414 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:07,616 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:07,817 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:08,019 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:08,219 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:08,420 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:08,620 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:08,821 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:09,021 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:09,222 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:09,422 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:09,622 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:09,823 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:10,024 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:10,225 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:10,426 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:10,627 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:10,828 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:11,029 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:11,230 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:11,431 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:11,631 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:11,832 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:12,033 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:12,233 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:12,435 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:12,635 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:12,836 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:13,037 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:13,238 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:13,440 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:13,640 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:13,842 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:14,042 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:14,243 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:14,443 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:14,644 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:14,845 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:15,045 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:15,246 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:15,446 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:15,647 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:15,849 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:16,051 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:16,251 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
INFO       2017-11-23 20:46:16,452 function: _read from module: __main__ with result: {<socket.socket fd=516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8001), raddr=('127.0.0.1', 64910)>: ''}
